@relation supermarket
@attribute 'department1' { t}
@attribute 'department2' { t}
@attribute 'department3' { t}
@attribute 'department4' { t}
@attribute 'department5' { t}
@attribute 'department6' { t}
@attribute 'department7' { t}
@attribute 'department8' { t}
@attribute 'department9' { t}
@attribute 'grocery misc' { t}
@attribute 'department11' { t}
@attribute 'baby needs' { t}
@attribute 'bread and cake' { t}
@attribute 'baking needs' { t}
@attribute 'coupons' { t}
@attribute 'juice-sat-cord-ms' { t}
@attribute 'tea' { t}
@attribute 'biscuits' { t}
@attribute 'canned fish-meat' { t}
@attribute 'canned fruit' { t}
@attribute 'canned vegetables' { t}
@attribute 'breakfast food' { t}
@attribute 'cigs-tobacco pkts' { t}
@attribute 'cigarette cartons' { t}
@attribute 'cleaners-polishers' { t}
@attribute 'coffee' { t}
@attribute 'sauces-gravy-pkle' { t}
@attribute 'confectionary' { t}
@attribute 'puddings-deserts' { t}
@attribute 'dishcloths-scour' { t}
@attribute 'deod-disinfectant' { t}
@attribute 'frozen foods' { t}
@attribute 'razor blades' { t}
@attribute 'fuels-garden aids' { t}
@attribute 'spices' { t}
@attribute 'jams-spreads' { t}
@attribute 'insecticides' { t}
@attribute 'pet foods' { t}
@attribute 'laundry needs' { t}
@attribute 'party snack foods' { t}
@attribute 'tissues-paper prd' { t}
@attribute 'wrapping' { t}
@attribute 'dried vegetables' { t}
@attribute 'pkt-canned soup' { t}
@attribute 'soft drinks' { t}
@attribute 'health food other' { t}
@attribute 'beverages hot' { t}
@attribute 'health&beauty misc' { t}
@attribute 'deodorants-soap' { t}
@attribute 'mens toiletries' { t}
@attribute 'medicines' { t}
@attribute 'haircare' { t}
@attribute 'dental needs' { t}
@attribute 'lotions-creams' { t}
@attribute 'sanitary pads' { t}
@attribute 'cough-cold-pain' { t}
@attribute 'department57' { t}
@attribute 'meat misc' { t}
@attribute 'cheese' { t}
@attribute 'chickens' { t}
@attribute 'milk-cream' { t}
@attribute 'cold-meats' { t}
@attribute 'deli gourmet' { t}
@attribute 'margarine' { t}
@attribute 'salads' { t}
@attribute 'small goods' { t}
@attribute 'dairy foods' { t}
@attribute 'fruit drinks' { t}
@attribute 'delicatessen misc' { t}
@attribute 'department70' { t}
@attribute 'beef' { t}
@attribute 'hogget' { t}
@attribute 'lamb' { t}
@attribute 'pet food' { t}
@attribute 'pork' { t}
@attribute 'poultry' { t}
@attribute 'veal' { t}
@attribute 'gourmet meat' { t}
@attribute 'department79' { t}
@attribute 'department80' { t}
@attribute 'department81' { t}
@attribute 'produce misc' { t}
@attribute 'fruit' { t}
@attribute 'plants' { t}
@attribute 'potatoes' { t}
@attribute 'vegetables' { t}
@attribute 'flowers' { t}
@attribute 'department88' { t}
@attribute 'department89' { t}
@attribute 'variety misc' { t}
@attribute 'brushware' { t}
@attribute 'electrical' { t}
@attribute 'haberdashery' { t}
@attribute 'kitchen' { t}
@attribute 'manchester' { t}
@attribute 'pantyhose' { t}
@attribute 'plasticware' { t}
@attribute 'department98' { t}
@attribute 'stationary' { t}
@attribute 'department100' { t}
@attribute 'department101' { t}
@attribute 'department102' { t}
@attribute 'prepared meals' { t}
@attribute 'preserving needs' { t}
@attribute 'condiments' { t}
@attribute 'cooking oils' { t}
@attribute 'department107' { t}
@attribute 'department108' { t}
@attribute 'department109' { t}
@attribute 'department110' { t}
@attribute 'department111' { t}
@attribute 'department112' { t}
@attribute 'department113' { t}
@attribute 'department114' { t}
@attribute 'health food bulk' { t}
@attribute 'department116' { t}
@attribute 'department117' { t}
@attribute 'department118' { t}
@attribute 'department119' { t}
@attribute 'department120' { t}
@attribute 'bake off products' { t}
@attribute 'department122' { t}
@attribute 'department123' { t}
@attribute 'department124' { t}
@attribute 'department125' { t}
@attribute 'department126' { t}
@attribute 'department127' { t}
@attribute 'department128' { t}
@attribute 'department129' { t}
@attribute 'department130' { t}
@attribute 'small goods2' { t}
@attribute 'offal' { t}
@attribute 'mutton' { t}
@attribute 'trim pork' { t}
@attribute 'trim lamb' { t}
@attribute 'imported cheese' { t}
@attribute 'department137' { t}
@attribute 'department138' { t}
@attribute 'department139' { t}
@attribute 'department140' { t}
@attribute 'department141' { t}
@attribute 'department142' { t}
@attribute 'department143' { t}
@attribute 'department144' { t}
@attribute 'department145' { t}
@attribute 'department146' { t}
@attribute 'department147' { t}
@attribute 'department148' { t}
@attribute 'department149' { t}
@attribute 'department150' { t}
@attribute 'department151' { t}
@attribute 'department152' { t}
@attribute 'department153' { t}
@attribute 'department154' { t}
@attribute 'department155' { t}
@attribute 'department156' { t}
@attribute 'department157' { t}
@attribute 'department158' { t}
@attribute 'department159' { t}
@attribute 'department160' { t}
@attribute 'department161' { t}
@attribute 'department162' { t}
@attribute 'department163' { t}
@attribute 'department164' { t}
@attribute 'department165' { t}
@attribute 'department166' { t}
@attribute 'department167' { t}
@attribute 'department168' { t}
@attribute 'department169' { t}
@attribute 'department170' { t}
@attribute 'department171' { t}
@attribute 'department172' { t}
@attribute 'department173' { t}
@attribute 'department174' { t}
@attribute 'department175' { t}
@attribute 'department176' { t}
@attribute 'department177' { t}
@attribute 'department178' { t}
@attribute 'department179' { t}
@attribute 'casks white wine' { t}
@attribute 'casks red wine' { t}
@attribute '750ml white nz' { t}
@attribute '750ml red nz' { t}
@attribute '750ml white imp' { t}
@attribute '750ml red imp' { t}
@attribute 'sparkling nz' { t}
@attribute 'sparkling imp' { t}
@attribute 'brew kits/accesry' { t}
@attribute 'department189' { t}
@attribute 'port and sherry' { t}
@attribute 'ctrled label wine' { t}
@attribute 'department192' { t}
@attribute 'department193' { t}
@attribute 'department194' { t}
@attribute 'department195' { t}
@attribute 'department196' { t}
@attribute 'department197' { t}
@attribute 'department198' { t}
@attribute 'department199' { t}
@attribute 'non host support' { t}
@attribute 'department201' { t}
@attribute 'department202' { t}
@attribute 'department203' { t}
@attribute 'department204' { t}
@attribute 'department205' { t}
@attribute 'department206' { t}
@attribute 'department207' { t}
@attribute 'department208' { t}
@attribute 'department209' { t}
@attribute 'department210' { t}
@attribute 'department211' { t}
@attribute 'department212' { t}
@attribute 'department213' { t}
@attribute 'department214' { t}
@attribute 'department215' { t}
@attribute 'department216' { t}
@attribute 'total' { low, high} % low < 100
@data
?,?,?,?,?,?,?,?,?,?,?,t,t,t,?,t,?,t,?,?,t,?,?,?,t,t,t,t,?,t,?,t,t,?,?,?,?,?,?,t,t,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,t,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,high
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,t,?,?,?,?,?,t,?,?,?,t,t,?,?,?,?,?,t,t,?,t,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,?,t,?,t,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
t,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,?,t,?,?,t,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,t,?,t,t,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,t,?,?,?,?,?,?,?,t,t,t,?,?,?,?,t,?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,t,t,?,?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
?,?,t,?,?,?,t,?,?,?,?,?,t,t,?,t,t,t,?,?,t,t,?,?,?,?,?,t,?,?,?,t,?,?,t,?,?,?,?,t,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,high
t,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,t,t,?,t,t,t,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
?,?,?,?,?,?,?,?,?,?,?,t,t,t,?,t,?,t,?,?,t,?,?,?,?,t,t,?,?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,low
?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,?,t,?,t,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,high
